Case 	 r_10 (arcsec) 	 r_10 (pc) 	 p-value (%) 
Worst 	 0.01208 	 103.64 	 1.9400 
Average 	 0.01125 	 97.68 	 0.5800 
Best 	 0.03119 	 240.93 	 0.0600 
Gaussian Worst 	 0.00260 	 22.27 	 0.0600 
Gaussian Average 	 0.00218 	 18.9048881202006 	 0.1500 
Gaussian Best 	 0.01048 	 80.93 	 0.7200 
Uncertainty 5 	 0.01209 	 104.96 	 0.5500 
Uncertainty 10 	 0.03916 	 339.97 	 7.5400 
New bkg, Uni 	 0.01129 	 98.05 	 0.5600 
New bkg, Norm 	 0.00283 	 24.61 	 0.1700 
Weighted 	 0.01670 	 145.02 	 0.3600 
